User-ID,Age,Country,ISBN,Book-Rating,Avg_Rating,Total_No_Of_Users_Rated,Book-Title,Book-Author,Year-Of-Publication,Publisher,Score
243929,63.0,other,0060959037,7,8.159420289855072,138,Prodigal Summer: A Novel,Barbara Kingsolver,2001,Perennial,7.990637804199656
110912,36.0,usa,0767902521,10,8.20754716981132,106,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books,7.988875508519589
194614,33.0,usa,0553250426,8,8.213483146067416,89,The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel,1984,Bantam Books,7.9680316107734015
174914,33.0,australia,0743418174,8,8.046610169491526,236,Good in Bed,Jennifer Weiner,2002,Washington Square Press,7.957029454827768
56917,36.0,usa,0441003257,10,8.195402298850574,87,Good Omens,Neil Gaiman,1996,Ace Books,7.954363155286955
165582,36.0,usa,089480829X,10,8.265625,64,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,Workman Pub Co,7.94616278475258
101620,36.0,usa,0312966091,9,8.157894736842104,95,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks,7.944080732379435
122813,36.0,usa,0156027321,8,8.030973451327434,226,Life of Pi,Yann Martel,2003,Harvest Books,7.941754608442518
145900,36.0,usa,0385492081,9,8.08695652173913,138,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,Anchor,7.941132853704605
30035,37.0,canada,0312983867,5,8.228571428571428,70,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,7.941110719763659
146113,36.0,usa,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,7.940771475738506
217468,23.0,singapore,0099771519,8,8.174418604651162,86,Memoirs of a Geisha Uk,Arthur Golden,1996,Trafalgar Square,7.940725576322202
49212,38.0,usa,1400034779,8,8.049180327868852,183,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,7.939711888454777
13709,36.0,usa,0553273914,10,8.246153846153845,65,The House of the Spirits,Isabel Allende,1986,Bantam Books,7.9388281895219395
98391,52.0,usa,0786868716,10,8.016528925619834,242,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,7.934996197543563
834,17.0,usa,0671027344,7,8.23076923076923,65,The Perks of Being a Wallflower,Stephen Chbosky,1999,MTV,7.931076251537443
115973,36.0,usa,0786867647,5,8.23076923076923,65,Lucky Man: A Memoir,Michael J. Fox,2002,Hyperion,7.931076251537443
234765,28.0,malaysia,0151008116,10,8.138297872340425,94,Life of Pi,Yann Martel,2002,Harcourt,7.931068585116014
7887,23.0,usa,1558745157,10,8.2,70,The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer,1997,Health Communications,7.92618534662933
7915,36.0,usa,0452282152,9,7.982014388489208,278,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,7.915522913591609
49460,37.0,usa,0312282990,9,8.106382978723405,94,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador,7.912081243343863
238898,36.0,usa,068484477X,9,8.056,125,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone,7.910628764276879
805,34.0,usa,0316777730,7,8.17910447761194,67,Naked,David Sedaris,1998,Back Bay Books,7.909227759147559
250407,36.0,usa,0446605484,6,8.117647058823529,85,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,7.9067707144183235
1427,22.0,usa,0062502182,10,8.076190476190476,105,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco,7.9059694464398245
78783,49.0,usa,0385335881,9,8.101123595505618,89,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta,7.902672133649218
165778,36.0,usa,0380789035,8,8.013245033112582,151,American Gods,Neil Gaiman,2002,HarperTorch,7.898180634643396
7915,36.0,usa,0312980140,10,8.08695652173913,92,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Paperbacks,7.898133566976476
248221,62.0,usa,0385722206,7,8.023255813953488,129,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor,7.89175562926596
236058,34.0,usa,0380789019,9,8.023809523809524,126,Neverwhere,Neil Gaiman,1998,Avon,7.890046507622791
100459,38.0,usa,0380718340,9,8.1,80,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994,Avon,7.8896446975578485
133557,36.0,usa,0446364193,9,8.03448275862069,116,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,7.889493535824059
12137,33.0,canada,0871136791,7,8.102564102564102,78,Cold Mountain,Charles Frazier,1997,Atlantic Monthly Press,7.888090397523453
151653,36.0,usa,0515131229,9,8.038095238095238,105,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,7.882300807386569
206534,36.0,usa,0684872153,10,8.0,136,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner,7.8805441822416515
81015,15.0,canada,0140067477,10,8.03960396039604,101,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,7.879447493626244
249894,36.0,usa,1558743669,5,8.0,134,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications,7.87933755781985
73681,27.0,portugal,0553250531,6,8.1,70,The Valley of Horses,JEAN M. AUEL,1984,Bantam,7.8739465406591815
106862,43.0,usa,0440236703,3,8.044444444444444,90,Tell No One,Harlan Coben,2002,Dell Publishing Company,7.870836600313833
53365,29.0,usa,0440211263,10,8.0625,80,Circle of Friends,Maeve Binchy,1991,Dell,7.868811364224516
126492,31.0,usa,0440206154,7,7.957831325301205,166,Red Dragon,Thomas Harris,2000,Dell Publishing Company,7.8656905932536105
115537,50.0,canada,0380018179,10,8.068493150684931,73,The Thorn Birds,Colleen McCullough,1978,Avon,7.862108295243287
95364,35.0,usa,080410753X,8,8.010204081632653,98,The Kitchen God's Wife,Amy Tan,1992,Ivy Books,7.858696521285989
5037,26.0,usa,0440211727,10,7.93298969072165,194,A Time to Kill,JOHN GRISHAM,1992,Dell,7.857010993985776
249894,36.0,usa,0553279378,8,8.073529411764707,68,I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,Bantam,7.856885124608564
218608,31.0,usa,0399501487,8,7.9907407407407405,108,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,7.855283932839129
114368,33.0,usa,0345313860,5,7.951048951048951,143,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books,7.850767325837344
106849,39.0,usa,0425147622,10,8.024691358024691,81,The Body Farm,Patricia Daniels Cornwell,1995,Berkley Publishing Group,7.849026458264348
182459,28.0,usa,0060928336,10,7.8875,320,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,7.84403342825086
95574,37.0,usa,080410526X,10,7.989247311827957,93,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books,7.841457556995734
122115,36.0,usa,0061009059,8,7.940298507462686,134,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,7.83893351741581
145737,40.0,usa,0385486804,7,7.938461538461539,130,Into the Wild,Jon Krakauer,1997,Anchor,7.835612559012011
148344,79.0,usa,0446606189,9,8.0,77,Cat &amp; Mouse (Alex Cross Novels),James Patterson,1998,Warner Books,7.830559123747023
225763,36.0,usa,0345384466,5,7.958762886597938,97,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993,Ballantine Books,7.8267629593064
31826,54.0,usa,0553582747,10,8.0,72,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,7.824329679767135
270234,36.0,usa,0440213525,8,7.903448275862069,145,The Client,John Grisham,1994,Dell Publishing Company,7.818702566738422
278672,43.0,canada,0679731148,7,8.0,67,A Year in Provence,Peter Mayle,1991,Vintage Books USA,7.817624705712444
193499,41.0,usa,0316776963,9,7.8930817610062896,159,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,7.816631553579956
234948,36.0,usa,0345413350,8,7.9625,80,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1997,Del Rey,7.813255808668961
158433,36.0,usa,067102423X,7,7.944444444444445,90,Bag of Bones,Stephen King,1999,Pocket,7.812395041872275
86906,26.0,usa,0060921145,8,7.970149253731344,67,Animal Dreams,Barbara Kingsolver,1991,Perennial,7.8023575301399255
265972,36.0,usa,0385479565,10,7.958333333333333,72,The Hot Zone,Richard Preston,1995,Anchor,7.8022708562377225
21083,32.0,usa,0804114986,8,7.901785714285714,112,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books,7.801754752547332
244,36.0,usa,0060987103,8,7.871794871794871,156,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,7.800494711128774
254144,23.0,usa,051513287X,9,7.921348314606742,89,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books,7.798096970250525
93629,54.0,usa,0345370775,6,7.85,200,Jurassic Park,Michael Crichton,1999,Ballantine Books,7.795866804728523
49225,36.0,usa,0345417623,10,7.851282051282051,195,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,7.795787013314016
203598,41.0,usa,0316284955,9,7.853801169590644,171,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books,7.791952495524811
98422,39.0,usa,0451172817,8,7.942857142857143,70,Needful Things,Stephen King,2004,Signet Book,7.791856988420376
49154,41.0,usa,0515132020,9,7.921052631578948,76,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books,7.7864916889166444
277959,28.0,usa,0767905385,6,7.927536231884058,69,Catch Me If You Can: The True Story of a Real Fake,Stan Redding,2000,Broadway,7.782773206378423
150639,19.0,usa,0446608955,6,7.854838709677419,124,A Walk to Remember,Nicholas Sparks,2000,Warner Books,7.777174661959203
27472,41.0,usa,044021145X,8,7.822115384615385,208,The Firm,John Grisham,1992,Bantam Dell Publishing Group,7.776135428118861
277997,36.0,usa,067976402X,8,7.80859375,256,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA,7.772215113901033
16009,25.0,usa,0385336179,6,7.897058823529412,68,Shopaholic Ties the Knot,Sophie Kinsella,2003,Delta,7.765976033699472
139747,36.0,usa,0553268880,8,7.881578947368421,76,The Prince of Tides,Pat Conroy,1987,Bantam Books,7.765063117488073
30735,36.0,usa,080411109X,9,7.869047619047619,84,The Hundred Secret Senses,Amy Tan,1996,Ivy Books,7.764248894921151
6323,35.0,usa,0446601241,8,7.864197530864198,81,Kiss the Girls,James Patterson,1995,Warner Books,7.759371285850554
158466,38.0,usa,014029628X,6,7.8625,80,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books,7.757700253113404
166123,32.0,usa,0446612545,5,7.836538461538462,104,The Beach House,James Patterson,2003,Warner Books,7.756600216954347
263326,29.0,usa,0385335482,9,7.803680981595092,163,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,7.753783420477227
124487,36.0,usa,0515128554,9,7.876923076923077,65,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books,7.752781677894033
63956,28.0,usa,0060392452,8,7.80379746835443,158,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002,Regan Books,7.75274250652401
56661,36.0,usa,0061097314,10,7.861111111111111,72,The Bean Trees,Barbara Kingsolver,1998,HarperTorch,7.750800268002428
171118,47.0,canada,0553280341,5,7.843373493975903,83,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam,7.749039703730137
136326,42.0,usa,0312976275,9,7.846153846153846,78,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,7.747245327100918
73741,30.0,usa,0345337662,7,7.778260869565218,230,Interview with the Vampire,Anne Rice,1993,Ballantine Books,7.745268151184797
24186,36.0,usa,0060929871,5,7.855072463768116,69,Brave New World,Aldous Huxley,1998,Perennial,7.745179221416017
75089,36.0,usa,0066214122,5,7.813186813186813,91,Prey: A Novel,Michael Crichton,2002,HarperCollins,7.736186041602131
145369,36.0,usa,0446604801,8,7.838235294117647,68,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books,7.735673003396441
161986,36.0,usa,0679429220,7,7.794392523364486,107,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,7.731630622504856
140223,27.0,usa,0060502258,7,7.771084337349397,166,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,7.730907984557958
35859,36.0,usa,0375700757,7,7.776119402985074,134,Cold Mountain : A Novel,CHARLES FRAZIER,1998,Vintage,7.727822406304699
187463,56.0,usa,0671004107,9,7.82089552238806,67,Contact,Carl Sagan,1997,Pocket,7.72602165227733
243720,36.0,usa,002542730X,5,7.805194805194805,77,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc,7.724176145023619
186533,33.0,canada,0553572997,7,7.766666666666667,120,The Alienist,Caleb Carr,1995,Bantam Books,7.717982806784404
16916,53.0,usa,0425163407,10,7.791666666666667,72,Unnatural Exposure,Patricia Daniels Cornwell,1998,Berkley Publishing Group,7.714035562120076
68555,36.0,usa,0440221471,7,7.743421052631579,152,The Runaway Jury,JOHN GRISHAM,1997,Dell,7.708837205779307
251843,36.0,usa,1558744150,5,7.787878787878788,66,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,7.708529511141002
68555,36.0,usa,014025448X,8,7.771084337349397,83,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,7.708223377199525
49980,27.0,usa,0452264464,2,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,7.707054800337973
233648,58.0,usa,0446531332,8,7.7846153846153845,65,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books,7.706270049987056
242299,25.0,usa,0446670251,7,7.7555555555555555,90,The Virgin Suicides,Jeffrey Eugenides,1994,Warner Books,7.7020054314826645
55187,48.0,usa,0446610038,10,7.728813559322034,177,1st to Die: A Novel,James Patterson,2002,Warner Vision,7.701696416798051
49998,36.0,usa,0671510053,8,7.733333333333333,150,SHIPPING NEWS,Annie Proulx,1994,Scribner,7.701443160973506
91058,63.0,usa,0375706771,5,7.73202614379085,153,Midwives: A Novel,Chris Bohjalian,1998,Vintage,7.700962379946223
278843,28.0,usa,014028009X,8,7.732824427480916,131,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books,7.69799403306836
237990,36.0,usa,0345413903,9,7.753623188405797,69,The Murder Book,Jonathan Kellerman,2003,Ballantine Books,7.692547642468649
214583,32.0,other,0425169863,9,7.753623188405797,69,Point of Origin,Patricia Daniels Cornwell,1999,Berkley Publishing Group,7.692547642468649
81136,41.0,usa,0553580221,6,7.753846153846154,65,False Memory,Dean R. Koontz,2000,Bantam Books,7.690766174018064
187145,65.0,usa,0316789089,8,7.753846153846154,65,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",7.690766174018064
55438,42.0,usa,0842329129,10,7.716129032258064,155,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers,7.689994686978677
216683,36.0,usa,0345387651,8,7.728260869565218,92,The Cider House Rules,John Irving,1994,Ballantine Books,7.686595105438015
125519,40.0,usa,0440224764,8,7.713286713286713,143,The Partner,John Grisham,1998,Dell Publishing Company,7.686516118107876
68538,36.0,usa,0671021001,10,7.700460829493087,217,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,7.6836613396737725
68537,70.0,usa,0440234743,10,7.704142011834319,169,The Testament,John Grisham,1999,Dell,7.682870542696696
36644,36.0,usa,0446612790,8,7.722222222222222,90,2nd Chance,James Patterson,2003,Warner Vision,7.682524912002146
141901,43.0,new zealand,0375702709,10,7.72289156626506,83,A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,Vintage Books USA,7.681012492845785
244,36.0,usa,155874262X,6,7.71578947368421,95,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,7.679929788983209
223066,51.0,canada,0425152251,8,7.712765957446808,94,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996,Berkley Publishing Group,7.677904028153989
244286,22.0,usa,0316769487,7,7.68724279835391,243,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",7.674621617095538
